Month,Alpha NW T-stat,Beta NW T-stat
01/11/1976,1.429924087,0.004222468
01/12/1976,1.361656245,3.137882207
01/01/1977,1.09336504,-0.524033665
01/02/1977,-0.287182169,0.357696328
01/03/1977,1.107174795,-0.651293042
01/04/1977,2.792821534,-2.028396268
01/05/1977,-0.23684107,-0.003933214
01/06/1977,0.432901455,1.824491749
01/07/1977,0.331282103,-0.204257831
01/08/1977,-3.369384911,2.919462544
01/09/1977,0.665007149,-0.274943762
01/10/1977,-0.168506466,-0.549044339
01/11/1977,-0.767977329,3.993240184
01/12/1977,-0.692709161,1.480123724
01/01/1978,-0.29389953,-0.799650806
01/02/1978,-1.78326615,2.906499405
01/03/1978,-1.870047137,5.304549442
01/04/1978,-1.811516204,5.681928577
01/05/1978,-0.340998537,1.888576178
01/06/1978,2.140279703,-2.09486384
01/07/1978,-0.940483013,3.090242165
01/08/1978,-5.515433841,9.50386858
01/09/1978,-0.838832176,0.914770024
01/10/1978,0.998142415,-8.806438007
01/11/1978,-1.106348673,2.813213048
01/12/1978,-1.429540039,1.475669116
01/01/1979,1.134094766,4.392511339
01/02/1979,3.043168663,-5.043708415
01/03/1979,-0.653517708,3.924376575
01/04/1979,1.093889833,-0.054945872
01/05/1979,-0.605947265,-0.642991119
01/06/1979,2.383132388,-0.356726453
01/07/1979,4.656798681,-3.092476758
01/08/1979,2.006521102,1.368076149
01/09/1979,-2.650211372,1.330461535
01/10/1979,-4.2898251,-0.844635005
01/11/1979,1.888792869,-0.578543095
01/12/1979,0.468013218,2.48204689
01/01/1980,-1.188570449,3.363731505
01/02/1980,-1.748560238,0.724896625
01/03/1980,-2.310309406,-5.767878085
01/04/1980,5.730085392,-4.13513727
01/05/1980,3.787131348,-0.334477711
01/06/1980,5.872670918,-2.214371694
01/07/1980,-1.248019619,3.257226863
01/08/1980,-3.149723961,5.756857223
01/09/1980,-2.268410647,4.596378056
01/10/1980,-1.198843728,2.056289731
01/11/1980,-3.277059893,4.570400865
01/12/1980,0.336760439,-2.925251622
01/01/1981,5.524632404,-5.988913142
01/02/1981,3.429216923,-3.639481978
01/03/1981,3.017308964,0.984646131
01/04/1981,1.451016669,-0.699485697
01/05/1981,-0.414204884,0.85645603
01/06/1981,5.994474439,-6.567747034
01/07/1981,-0.905693655,-0.306722102
01/08/1981,0.442190573,-8.828467101
01/09/1981,0.804049692,-5.949461507
01/10/1981,1.003101667,3.108139019
01/11/1981,3.786296304,-3.467573871
01/12/1981,-0.267183624,-1.572483722
01/01/1982,0.408329272,-1.383750763
01/02/1982,2.255093752,-3.884602426
01/03/1982,3.84970996,-4.980940577
01/04/1982,2.379655249,0.038647851
01/05/1982,0.91458556,-4.594079976
01/06/1982,3.008270314,-5.566361083
01/07/1982,1.246716496,-2.236946599
01/08/1982,2.761136493,0.122159252
01/09/1982,4.220407945,-2.390914671
01/10/1982,3.144160136,1.261976281
01/11/1982,1.818477139,0.02375599
01/12/1982,-0.281208789,0.884987488
01/01/1983,-2.330197181,4.309529151
01/02/1983,1.90683962,-0.231158084
01/03/1983,3.944490632,-2.343484466
01/04/1983,4.308318064,-0.934135647
01/05/1983,-3.72323744,8.494621422
01/06/1983,0.209578294,1.408187898
01/07/1983,1.112334121,-2.142296396
01/08/1983,1.80058387,-5.394358573
01/09/1983,9.068797557,-8.954838836
01/10/1983,4.610226221,-9.412592325
01/11/1983,0.878965058,0.631734512
01/12/1983,1.471544178,-3.991402013
01/01/1984,0.348051342,-0.549404275
01/02/1984,-2.218173554,-0.002894069
01/03/1984,0.565544021,-0.326190658
01/04/1984,0.933412545,-4.593994393
01/05/1984,-1.832493378,-1.732769013
01/06/1984,2.742795777,-2.067179587
01/07/1984,0.99733982,-3.586828117
01/08/1984,2.900810584,2.842262161
01/09/1984,4.150155926,-4.606301939
01/10/1984,3.739937004,-4.83687281
01/11/1984,2.956795161,-6.8204638
01/12/1984,4.26057833,-3.820851653
01/01/1985,0.538367374,1.705753584
01/02/1985,1.468647838,1.035620029
01/03/1985,2.524290038,-2.984734401
01/04/1985,0.371707875,-1.47442395
01/05/1985,4.177564756,-2.963691299
01/06/1985,5.109362191,-4.280759516
01/07/1985,-2.238816339,2.9960639
01/08/1985,1.890568204,-2.267435922
01/09/1985,-0.028611662,-7.197855849
01/10/1985,2.491836125,-2.236502957
01/11/1985,3.225779089,0.285892165
01/12/1985,2.387155467,-0.969523006
01/01/1986,-0.491848068,1.55191603
01/02/1986,2.517611385,0.029672821
01/03/1986,0.673356553,0.651632523
01/04/1986,-0.755741817,1.024432542
01/05/1986,1.551679092,0.24855554
01/06/1986,5.183009378,-3.89076896
01/07/1986,-0.651240042,-1.742489263
01/08/1986,2.457401454,-2.116518057
01/09/1986,-0.950301207,-1.735980083
01/10/1986,-0.861005529,1.97789916
01/11/1986,-1.396255606,1.084908082
01/12/1986,-0.053813172,-0.874741844
01/01/1987,2.300820224,0.761686261
01/02/1987,0.181869793,1.425455815
01/03/1987,-0.153101386,0.91317016
01/04/1987,-2.699493613,1.472057623
01/05/1987,-0.373393343,0.353754945
01/06/1987,3.92811996,-2.604427864
01/07/1987,2.991130682,-2.319286418
01/08/1987,1.99177661,-1.319647707
01/09/1987,-3.873804437,2.381210162
01/10/1987,-2.623286157,-2.334203947
01/11/1987,-0.821110554,-0.818969677
01/12/1987,0.037123389,0.62613666
01/01/1988,0.530182394,1.036391827
01/02/1988,-0.547488593,3.008051936
01/03/1988,-0.221057785,1.79062987
01/04/1988,-0.150513336,0.72986208
